StockCode,SpecCode,PopQB,Winf,K,t0,Mortality,Genus,Species,sciname
1,2,2.2100000381469727,2056,0.33000001311302185,-0.44999998807907104,0.7799999713897705,Oreochromis,niloticus,Oreochromis_niloticus
1,2,3.299999952316284,5700,0.17000000178813934,-0.8199999928474426,0.46000000834465027,Oreochromis,niloticus,Oreochromis_niloticus
1,2,3.559999942779541,2495,0.33000001311302185,-0.4399999976158142,0.75,Oreochromis,niloticus,Oreochromis_niloticus
1,2,4.150000095367432,2495,0.33000001311302185,-0.4399999976158142,0.8299999833106995,Oreochromis,niloticus,Oreochromis_niloticus
1,2,4.809999942779541,2495,0.33000001311302185,-0.4399999976158142,0.75,Oreochromis,niloticus,Oreochromis_niloticus
1,2,11.399999618530273,95,7.300000190734863,-0.024000000208616257,7.400000095367432,Oreochromis,niloticus,Oreochromis_niloticus
1,2,12.800000190734863,1517,0.23999999463558197,-0.38999998569488525,0.10000000149011612,Oreochromis,niloticus,Oreochromis_niloticus
1,2,15.300000190734863,101,5.300000190734863,-0.03500000014901161,7,Oreochromis,niloticus,Oreochromis_niloticus
1,2,15.600000381469727,545,3.700000047683716,-0.4099999964237213,0.4099999964237213,Oreochromis,niloticus,Oreochromis_niloticus
1,2,17.200000762939453,5700,0.18000000715255737,-0.7900000214576721,49,Oreochromis,niloticus,Oreochromis_niloticus
1,2,24.799999237060547,361,4.800000190734863,-0.3199999928474426,1.2000000476837158,Oreochromis,niloticus,Oreochromis_niloticus
1,2,28,271,5,-0.03200000151991844,5.199999809265137,Oreochromis,niloticus,Oreochromis_niloticus
1,2,28.399999618530273,145,8.199999809265137,-0.019999999552965164,8.399999618530273,Oreochromis,niloticus,Oreochromis_niloticus
1,2,42.79999923706055,95,7.300000190734863,-0.024000000208616257,7.5,Oreochromis,niloticus,Oreochromis_niloticus
1,2,49.900001525878906,2036,0.33000001311302185,-0.4399999976158142,0.7400000095367432,Oreochromis,niloticus,Oreochromis_niloticus
1,2,54,145,8.199999809265137,-0.019999999552965164,7.699999809265137,Oreochromis,niloticus,Oreochromis_niloticus
1,2,61.79999923706055,431,5.599999904632568,-0.02800000086426735,5.5,Oreochromis,niloticus,Oreochromis_niloticus
3,3,2.240000009536743,1193,0.2199999988079071,-0.7200000286102295,0.6200000047683716,Oreochromis,mossambicus,Oreochromis_mossambicus
3,3,2.700000047683716,1144,0.2199999988079071,-0.7099999785423279,0.5400000214576721,Oreochromis,mossambicus,Oreochromis_mossambicus
3,3,30.299999237060547,242,5.199999809265137,-0.03200000151991844,5.599999904632568,Oreochromis,mossambicus,Oreochromis_mossambicus
3,3,31.600000381469727,348,5.199999809265137,-0.03200000151991844,5.300000190734863,Oreochromis,mossambicus,Oreochromis_mossambicus
3,3,75.5,996,0.25,-0.6299999952316284,0.6800000071525574,Oreochromis,mossambicus,Oreochromis_mossambicus
21,15,2.7699999809265137,1880,0.23999999463558197,-0.20000000298023224,0.6399999856948853,Epinephelus,guttatus,Epinephelus_guttatus
73,63,1.5199999809265137,3067,0.23000000417232513,-0.5799999833106995,0.1599999964237213,Dicentrarchus,labrax,Dicentrarchus_labrax
73,63,10.199999809265137,3067,0.23000000417232513,-0.5799999833106995,0.1599999964237213,Dicentrarchus,labrax,Dicentrarchus_labrax
76,66,9.125,28,1.149999976158142,-0.17000000178813934,1.7999999523162842,Engraulis,encrasicolus,Engraulis_encrasicolus
79,69,2.259999990463257,15714,0.30000001192092896,0.8199999928474426,0.20000000298023224,Gadus,morhua,Gadus_morhua
97,82,6.260000228881836,883,1.5199999809265137,-0.09300000220537186,2.200000047683716,Labeo,rohita,Labeo_rohita
157,143,11.640000343322754,81920,0.3100000023841858,-0.3400000035762787,0.47999998927116394,Thunnus,albacares,Thunnus_albacares
161,147,3.930000066757202,622000,0.4099999964237213,-7,0.20000000298023224,Thunnus,thynnus,Thunnus_thynnus
250,236,7.139999866485596,141,0.17000000178813934,-1.0800000429153442,0.3799999952316284,Salmo,salar,Salmo_salar
252,238,5.21999979019165,605,0.20999999344348907,-0.75,0.36000001430511475,Salmo,trutta,Salmo_trutta
252,238,8.630000114440918,230,0.30000001192092896,-0.5699999928474426,2.5999999046325684,Salmo,trutta,Salmo_trutta
252,238,23.899999618530273,1824,0.18000000715255737,-0.800000011920929,0.3799999952316284,Salmo,trutta,Salmo_trutta
252,238,25.100000381469727,1206,0.3100000023841858,-0.4699999988079071,0.5699999928474426,Salmo,trutta,Salmo_trutta
259,245,4.079999923706055,10541,0.6499999761581421,-0.18000000715255737,0.6800000071525574,Oncorhynchus,kisutch,Oncorhynchus_kisutch
259,245,6.489999771118164,7500,0.9800000190734863,1.3300000429153442,0.9399999976158142,Oncorhynchus,kisutch,Oncorhynchus_kisutch
272,258,1.6100000143051147,8810,0.23999999463558197,-0.18000000715255737,0.2639999985694885,Esox,lucius,Esox_lucius
272,258,2.0299999713897705,13312,0.23000000417232513,-0.0010000000474974513,0.36000001430511475,Esox,lucius,Esox_lucius
272,258,2.950000047683716,6049,0.2199999988079071,-0.5600000023841858,0.25,Esox,lucius,Esox_lucius
272,258,6.429999828338623,10925,0.3499999940395355,0.20000000298023224,0.6000000238418579,Esox,lucius,Esox_lucius
277,263,1.6100000143051147,32000,0.23000000417232513,-0.052000001072883606,0.44999998807907104,Colossoma,macropomum,Colossoma_macropomum
286,272,2.680000066757202,766,0.09099999815225601,-1.899999976158142,0.27000001072883606,Rutilus,rutilus,Rutilus_rutilus
286,272,13.600000381469727,316,0.46000000834465027,-0.36000001430511475,0.6299999952316284,Rutilus,rutilus,Rutilus_rutilus
286,272,14.5,1769,0.18000000715255737,-0.6800000071525574,0.3499999940395355,Rutilus,rutilus,Rutilus_rutilus
361,347,4.260000228881836,16595,0.23999999463558197,-0.5099999904632568,0.5,Lates,niloticus,Lates_niloticus
372,358,4.570000171661377,154,0.4099999964237213,-0.014000000432133675,0.5,Perca,fluviatilis,Perca_fluviatilis
372,358,5.059999942779541,336,0.4399999976158142,0.3499999940395355,0.8100000023841858,Perca,fluviatilis,Perca_fluviatilis
372,358,5.989999771118164,173,0.2199999988079071,-0.5899999737739563,0.5899999737739563,Perca,fluviatilis,Perca_fluviatilis
372,358,6.25,897,0.18000000715255737,-0.8999999761581421,0.4399999976158142,Perca,fluviatilis,Perca_fluviatilis
373,359,5.550000190734863,380,0.25,-0.6499999761581421,0.4399999976158142,Perca,flavescens,Perca_flavescens
440,426,4.010000228881836,47000,0.17100000381469727,-0.07999999821186066,0.3100000023841858,Epinephelus,aeneus,Epinephelus_aeneus
575,559,30.100000381469727,6,2.5299999713897705,-0.012000000104308128,4.380000114440918,Encrasicholina,purpurea,Encrasicholina_purpurea
632,616,12.100000381469727,2,0.5,-0.47999998927116394,1.5299999713897705,Lampanyctus,alatus,Lampanyctus_alatus
711,695,3.690000057220459,756,0.20000000298023224,-0.1899999976158142,0.3799999952316284,Limanda,limanda,Limanda_limanda
